repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,WatchEvent,ForkEvent,GollumEvent,CommitCommentEvent,DiscussionEvent,MemberEvent,total
hyperledger/indy-vdr,2022-02,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,8
hyperledger/indy-vdr,2022-04,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,11
hyperledger/indy-vdr,2022-05,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9
hyperledger/indy-vdr,2022-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-vdr,2022-11,5,5,3,1,0,2,0,0,0,0,1,0,0,0,0,17
hyperledger/indy-vdr,2022-12,7,2,2,2,0,1,0,0,0,0,0,0,0,0,0,14
hyperledger/indy-vdr,2023-01,8,0,4,9,5,1,2,2,0,0,0,0,0,0,0,31
hyperledger/indy-vdr,2023-02,12,0,3,6,6,6,2,2,0,0,0,0,0,0,0,37
hyperledger/indy-vdr,2023-03,1,0,1,9,4,4,0,4,2,0,0,0,0,0,0,25
hyperledger/indy-vdr,2023-04,1,0,0,5,9,0,3,4,2,0,0,0,0,0,0,24
hyperledger/indy-vdr,2023-05,6,0,3,2,2,1,0,0,0,0,0,0,0,0,0,14
hyperledger/indy-vdr,2023-06,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5
hyperledger/indy-vdr,2023-08,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,7
hyperledger/indy-vdr,2023-09,3,0,2,3,3,3,0,0,0,0,0,0,0,0,0,14
hyperledger/indy-vdr,2023-10,9,0,2,1,1,0,0,0,0,0,0,0,0,0,0,13
hyperledger/indy-vdr,2023-11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
hyperledger/indy-vdr,2024-01,0,0,1,4,4,0,2,2,0,0,0,0,0,0,0,13
hyperledger/indy-vdr,2024-02,1,1,0,2,0,0,0,3,0,0,0,0,0,0,0,7
hyperledger/indy-vdr,2024-03,0,0,1,2,2,0,1,1,0,0,0,0,0,0,0,7
hyperledger/indy-vdr,2024-04,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-vdr,2024-05,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,10
hyperledger/indy-vdr,2024-06,3,6,7,10,8,0,0,1,0,0,0,0,0,0,0,35
hyperledger/indy-vdr,2024-07,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-vdr,2024-09,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,6
hyperledger/indy-vdr,2025-01,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4
hyperledger/indy-vdr,2025-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-vdr,2025-11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
