repo,month,IssueCommentEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,CreateEvent,IssuesEvent,DeleteEvent,ForkEvent,CommitCommentEvent,GollumEvent,WatchEvent,total
open-quantum-safe/oqs-demos,2023-10,4,4,3,1,4,2,0,0,0,0,0,0,18
open-quantum-safe/oqs-demos,2023-11,2,0,1,0,1,1,0,0,0,0,0,0,5
open-quantum-safe/oqs-demos,2024-01,2,4,3,3,3,1,1,3,0,0,0,0,20
open-quantum-safe/oqs-demos,2024-04,3,1,0,0,1,1,0,0,0,0,0,0,6
open-quantum-safe/oqs-demos,2024-06,1,1,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-demos,2024-07,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2024-08,3,0,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-demos,2024-10,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2024-11,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2025-01,1,2,3,2,2,0,1,1,0,0,0,0,12
open-quantum-safe/oqs-demos,2025-02,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2025-05,1,0,3,1,0,0,0,0,0,0,0,0,5
open-quantum-safe/oqs-demos,2025-07,0,0,0,0,1,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-03,2,0,0,0,0,0,1,0,0,0,0,0,3
open-quantum-safe/tsc,2024-04,2,0,3,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/tsc,2024-07,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-12,0,3,2,1,1,1,0,0,0,0,0,0,8
open-quantum-safe/tsc,2025-01,0,0,1,2,0,0,0,0,0,0,0,0,3
open-quantum-safe/tsc,2025-02,0,0,2,1,0,0,0,0,0,0,0,0,3
open-quantum-safe/tsc,2025-03,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-05,0,0,2,0,1,1,0,0,0,0,0,0,4
open-quantum-safe/tsc,2025-07,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-08,0,0,0,0,0,1,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-09,1,0,2,0,1,1,0,0,0,0,0,0,5
open-quantum-safe/tsc,2025-10,1,1,1,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/tsc,2025-11,2,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2026-01,0,0,3,0,1,1,0,0,0,0,0,0,5
open-quantum-safe/tsc,2026-02,1,1,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2026-03,0,1,0,0,0,1,0,2,0,0,0,0,4
pq-code-package/mlkem-native,2024-12,1,0,0,0,0,0,0,0,1,0,0,0,2
pq-code-package/mlkem-native,2025-01,10,0,3,0,1,0,0,0,0,0,0,0,14
pq-code-package/mlkem-native,2025-02,5,0,0,0,0,0,0,0,0,0,0,0,5
pq-code-package/mlkem-native,2025-09,1,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/mlkem-native,2026-04,0,0,1,3,0,0,0,0,0,0,0,0,4
open-quantum-safe/openssl,2021-02,4,0,5,5,1,0,0,0,1,0,0,0,16
open-quantum-safe/openssl,2021-03,1,0,0,0,0,0,2,0,0,0,0,0,3
open-quantum-safe/openssl,2021-06,1,0,0,0,0,0,0,0,0,1,0,0,2
open-quantum-safe/ci-containers,2022-12,0,0,0,0,1,1,0,0,0,0,0,0,2
open-quantum-safe/ci-containers,2025-07,0,0,0,0,1,1,0,1,0,0,0,0,3
open-quantum-safe/ci-containers,2026-03,0,0,0,0,0,1,0,0,0,0,0,0,1
pq-code-package/tsc,2024-03,2,0,0,0,0,0,0,0,0,0,0,0,2
pq-code-package/tsc,2024-11,1,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2026-02,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/boringssl,2021-02,1,0,0,0,1,0,0,0,1,0,0,0,3
open-quantum-safe/liboqs-python,2024-04,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-python,2024-10,2,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/profiling,2021-03,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/profiling,2021-12,2,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs-java,2021-06,2,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/www,2024-07,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/www,2025-01,0,0,1,0,0,0,0,0,0,0,0,0,1
cbomkit/cbomkit,2026-02,0,0,0,0,1,0,0,0,0,0,0,0,1
pq-code-package/mlkem-c-generic,2024-03,1,0,0,0,0,0,0,0,0,0,0,0,1
