repo,month,PullRequestReviewEvent,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,IssueCommentEvent,WatchEvent,CreateEvent,DeleteEvent,ForkEvent,IssuesEvent,total
hyperledger/fabric,2022-08,6,8,4,4,11,0,0,0,0,0,33
hyperledger/fabric,2022-09,1,1,1,0,0,0,0,0,0,0,3
hyperledger/fabric,2022-10,8,6,7,0,5,0,0,0,0,0,26
hyperledger/fabric,2022-11,6,3,1,5,2,0,0,0,0,0,17
hyperledger/fabric,2022-12,5,2,2,4,4,0,0,0,0,0,17
hyperledger/fabric,2023-01,8,3,1,7,5,0,0,0,0,0,24
hyperledger/fabric,2023-02,3,2,4,1,12,0,0,0,0,0,22
hyperledger/fabric,2023-03,7,1,1,5,3,0,0,0,0,0,17
hyperledger/fabric,2023-04,2,1,1,0,0,0,0,0,0,0,4
hyperledger/fabric,2023-05,8,5,5,3,3,0,0,0,0,0,24
hyperledger/fabric,2023-06,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric,2023-07,2,2,1,1,5,0,0,0,0,0,11
hyperledger/fabric,2023-08,8,9,7,2,2,0,0,0,0,0,28
hyperledger/fabric,2023-09,1,1,1,0,4,0,0,0,0,0,7
hyperledger/fabric,2023-10,9,3,1,9,5,0,0,0,0,0,27
hyperledger/fabric,2023-11,23,15,9,13,2,1,0,0,0,0,63
hyperledger/fabric,2023-12,4,5,4,0,1,0,0,0,0,0,14
hyperledger/fabric,2024-01,16,9,7,8,6,0,0,0,0,0,46
hyperledger/fabric,2024-02,1,1,1,0,1,0,0,0,0,0,4
hyperledger/fabric,2024-03,5,3,5,0,0,0,0,0,0,0,13
hyperledger/fabric,2024-04,7,5,5,0,0,0,0,0,0,1,18
hyperledger/fabric,2024-05,5,5,5,0,4,0,0,0,0,0,19
hyperledger/fabric,2024-06,2,2,1,0,1,0,0,0,0,0,6
hyperledger/fabric,2024-07,4,5,3,0,2,0,0,0,0,0,14
hyperledger/fabric,2024-08,4,3,2,2,5,0,0,0,0,0,16
hyperledger/fabric,2024-09,3,0,0,3,4,0,0,0,0,0,10
hyperledger/fabric,2024-10,4,4,2,1,2,0,0,0,0,0,13
hyperledger/fabric,2024-11,1,2,1,0,3,0,0,0,0,0,7
hyperledger/fabric,2025-01,3,1,1,0,0,0,0,0,0,0,5
hyperledger/fabric,2025-02,1,1,1,0,1,0,0,0,0,0,4
hyperledger/fabric,2025-04,1,10,2,0,14,0,0,0,0,0,27
hyperledger/fabric,2025-05,18,6,3,14,7,0,0,0,0,0,48
