repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PushEvent,DeleteEvent,IssuesEvent,ForkEvent,GollumEvent,CreateEvent,ReleaseEvent,total
hyperledger/anoncreds-rs,2024-06,1,0,0,1,0,0,0,0,0,0,0,2
hyperledger/anoncreds-rs,2025-01,0,0,0,0,0,0,2,0,0,0,0,2
hyperledger/anoncreds-rs,2025-02,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-rs,2025-03,0,0,2,4,0,0,0,0,0,0,0,6
openwallet-foundation/credo-ts-ext,2024-01,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-ext,2024-02,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-ext,2024-03,2,21,0,0,0,0,0,0,0,0,0,23
openwallet-foundation/credo-ts-ext,2024-06,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/askar,2025-01,0,0,2,4,3,1,3,1,0,1,1,16
openwallet-foundation/askar,2025-03,0,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/askar,2025-07,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/askar,2025-09,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/askar,2025-10,0,1,1,0,1,0,0,0,0,0,0,3
hyperledger/anoncreds-wrapper-javascript,2025-01,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/anoncreds-wrapper-javascript,2025-03,0,0,7,0,3,3,0,0,0,0,0,13
hyperledger/anoncreds-wrapper-javascript,2025-04,1,0,1,2,1,0,0,0,0,0,0,5
openwallet-foundation-labs/identity-common-ts,2026-02,1,1,0,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/identity-common-ts,2026-04,0,0,2,0,3,1,0,0,0,0,0,6
openwallet-foundation-labs/identity-common-ts,2026-05,1,0,0,0,3,1,0,0,0,0,0,5
openwallet-foundation/agent-framework-javascript,2024-01,3,2,3,4,1,0,0,0,0,0,0,13
openwallet-foundation/didcomm-mediator-credo,2025-05,3,3,1,0,1,0,0,1,0,0,0,9
openwallet-foundation/didcomm-mediator-credo,2025-10,3,1,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/sd-jwt-js,2025-01,1,1,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/sd-jwt-js,2025-03,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/sd-jwt-js,2025-04,2,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/sd-jwt-js,2025-06,1,1,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/sd-jwt-js,2026-02,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/sd-jwt-js,2026-04,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/dcql-ts,2025-05,3,1,0,1,0,0,0,0,0,0,0,5
openwallet-foundation-labs/dcql-ts,2025-06,0,0,0,0,0,0,0,1,0,0,0,1
openwallet-foundation-labs/dcql-ts,2025-11,0,2,0,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/mdoc-ts,2026-03,0,0,0,0,2,0,0,0,0,1,0,3
openwallet-foundation-labs/mdoc-ts,2026-05,0,0,0,0,3,0,0,0,0,0,0,3
hyperledger-indy/indy-vdr,2026-02,2,3,0,0,0,0,0,0,0,0,0,5
anoncreds/anoncreds-wrapper-javascript,2025-12,0,0,0,0,0,0,1,0,0,0,0,1
anoncreds/anoncreds-wrapper-javascript,2026-02,0,1,0,0,1,0,0,0,0,0,0,2
hyperledger/anoncreds-clsignatures-rs,2024-02,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-clsignatures-rs,2024-05,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/agent-javascript-docs,2024-01,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/governance,2025-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk-react-native,2024-02,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/expo-mdoc-data-transfer,2026-02,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/identity-credential,2025-01,0,0,0,0,0,0,0,1,0,0,0,1
openwallet-foundation/multipaz,2026-02,0,0,0,0,0,0,1,0,0,0,0,1
